ignore,root,field,source,save,loadtype,datatype,primary_key,not_null,default,format,description
,SJ_,AGENCY,I,y,,VARCHAR(1),,,,,"Y/N representing the existence in the raw data of 'Agency ID, a foreign key to the R_AGENCY table, which contains attributes for Agencies'"
,SJ_,AGENT,I,y,,VARCHAR(1),,,,,"Y/N representing the existence in the raw data of 'Agency Agent ID, a foreign key to the R_AGENCY_AGENT table which contains attributes for Agency Agents'"
,SJ_,DOCTYPE,O,y,,TEXT,,,,,Document type
,SJ_,TRANSACTIONCURRENCYCODE,M,y,,VARCHAR(3),,,,,Currency code of the transaction
,SJ_,TRANSACTIONBASEAMOUNT,M,y,,REAL,,,0,,"Transaction base amount (in the transaction currency). In case of a promotion, the base amount will include the promotion."
,SJ_,TRANSACTIONTOTALTAXAMOUNT,O,y,,REAL,,,0,,Transaction total tax amount
,SJ_,ENTITYCURRENCYCODE,M,y,,VARCHAR(3),,,,,"Code of the entity currency, i.e. the system currency"
,SJ_,ENTITYBASEAMOUNT,M,y,,REAL,,,0,,Entity base amount
,SJ_,ENTITYTOTALTAXAMOUNT,O,y,,REAL,,,0,,Entity total tax amount
,SJ_,TRANSACTIONMILESAMOUNTPAID,O,y,,INTEGER,,,0,,Amount paid in transaction miles
,SJ_,TRANSACTIONMONEYAMOUNTPAID,O,y,,REAL,,,0,,Amount paid in transaction money
,SJ_,CUSTOMERTYPE,O,y,,TEXT,,,,,"Customer Type: TRAVELER, TRAVEL_AGENCY, CORPORATE"
,SJ_,MARKET,O,y,,TEXT,,,,,"Market Type: Domestic, International"
,SJ_,PAYMENTTYPE,O,y,,TEXT,,,,,"Payment Type: PREPAY, DEPOSIT, POSTPAY, GUARANTEE"
,SJ_,TRAVELERTYPE,O,y,,TEXT,,,,,"Guest type for the lead traveller: CHD, ADT, INF, etc."
,SJ_,ENTITYTOTALPROMOTIONAMOUNT,O,y,,REAL,,,0,,Entity Total Promotion Amount
,SJ_,INTERNALAGENT,I,y,,VARCHAR(1),,,,,Y/N representing the existence in the raw data of 'The unique code of the internal agent making the transaction'
,SJ_,FIRSTDATEOFTRAVEL,O,y,TEXT,TIMESTAMP,,,,%d-%m-%Y %H:%M:%S,"First date of travel, 'DD-MM-YYYY HH:MM:SS'"
,SJ_,LASTDATEOFTRAVEL,O,y,TEXT,TIMESTAMP,,,,%d-%m-%Y %H:%M:%S,"Last date of travel, 'DD-MM-YYYY HH:MM:SS'"
,SJ_,PROVIDERNAME,O,y,,TEXT,,,,,Provider Name
,SJ_,FEETYPEDESCRIPTION,O,y,,TEXT,,,,,The description of component type
,SJ_,FEESUBTYPEDESCRIPTION,O,y,,TEXT,,,,,The description of component sub-type
#,,"The NONREFUNDABLE column value may be empty, which causes a problem as an NaN value may not appear in an integer column in a DataFrame, so load as text and convert later",,,,,,,,,
,SJ_,NONREFUNDABLE,M,y,TEXT,SMALLINT,,,0,,The flag identifies if transaction was created for effectively non-refundable component. It is 0 by default.
,SJ_,REFERENCEDCOMPONENTTYPE,O,y,,TEXT,,,,,"Reservation referenced component type. For example, for components of type PENALTY, the referenced type could be AIR, LODGING, etc."
,SJ_,TRANSACTIONBASEREDEMPTIONAMT,O,y,,REAL,,,0,,Transaction base amount in redemption currency
,SJ_,TRANSACTIONBASEREDEMPTIONEQUIV,O,y,,REAL,,,0,,Money equivalent of transaction base amount in redemption currency
,SJ_,INVOICED,I,y,,VARCHAR(1),,,,,Y/N representing the existence in the raw data of 'Invoice number'
,SJ_,LOYALTYNUMBER,I,y,,VARCHAR(1),,,,,Y/N representing the existence in the raw data of 'The column since each transaction reflects passenger sale?????'
#,,Fields from promos,,,,,,,,,
,SJPromo_,ID,M,,,BIGINT,,,,,Unique system-generated value which serves as the primary key
,SJPromo_,SALESJOURNALID,M,,,BIGINT,,,,,ID corresponding to RsalesJournal record. Foreign key.
,SJPromo_,TRANSACTIONPROMOTIONAMOUNT,M,y,,REAL,,,0,,Promotion amount in the transaction currency
,SJPromo_,ENTITYPROMOTIONAMOUNT,M,y,,REAL,,,0,,Promotion amount in the entity currency
,SJPromo_,PROMOCODE,O,y,,TEXT,,,,,Internal Code used in TDP to uniquely identify the promotion
,SJPromo_,EXTERNALPROMOCODE,O,y,,TEXT,,,,,"This is the Code that a user enters on the UI to apply for the promotion. This can be called Coupon Code, ExternalPromotion Code or PromotionActivation Code"
,SJPromo_,CERTIFICATE,I,y,,VARCHAR(1),,,,,Y/N representing the existence in the raw data of 'Certificate number used for the promotion'
#,,Fields from segs,,,,,,,,,
,SJSeg_,ID,M,,,BIGINT,,,,,Unique system-generated value which serves as the primary key
,SJSeg_,SALESJOURNALID,M,,,BIGINT,,,,,ID corresponding to RsalesJournal record. Foreign key.
,SJSeg_,ORIGINCODE,O,,,VARCHAR(3),,,,,Origin airport code
,SJSeg_,DESTINATIONCODE,O,,,VARCHAR(3),,,,,Destination airport code
,SJSeg_,OPERATINGCARRIER,O,y,,VARCHAR(6),,,,,Operating carrier
,SJSeg_,MARKETINGCARRIER,O,y,,VARCHAR(6),,,,,Marketing carrier
,SJSeg_,FAREFAMILY,O,y,,TEXT,,,,,Fare family
,SJSeg_,FLIGHTSEQUENCE,M,,,SMALLINT,,,,,"Flight sequence number. (SalesJournalID, FlightSequence) is the Unique key for the table."
,SJSeg_,BOOKINGCLASS,O,y,,TEXT,,,,,Booking Class
,SJSeg_,FLIGHTNUMBER,O,y,,TEXT,,,,,Flight Number
,SJSeg_,SEGMENTS,G,y,,TEXT,,,,,"Merged string representing the combination of segments (combined result of Origin airport code, Destination airport code & Flight sequence)"
